Rank,Title,Developer,Version,Price (USD),Rating,Votes,Content Rating,Category,Min Installs,Max Installs,Updated,Rank Change (Day),Rank Change (Week),URL
1,Candy Crush Saga,King.com,Varies with device,$0.00 ,4.42,140165,Everyone,Casual,10000000,50000000,1/31/13,0,0,https://play.google.com/store/apps/details?id=com.king.candycrushsaga
4,Blood Brothers (RPG),mobage,1.7.0.11.4,$0.00 ,4.59,118514,Medium Maturity,Arcade & Action,5000000,10000000,1/25/13,2,1,https://play.google.com/store/apps/details?id=com.mobage.ww.a759.Blood_Brothers_Android
3,Dark Summoner,Ateam Inc.,1.02.10,$0.00 ,4.44,28723,Medium Maturity,Arcade & Action,1000000,5000000,1/25/13,-2,-3,https://play.google.com/store/apps/details?id=com.darksummoner
2,Rage of Bahamut,mobage,1.8.0.3,$0.00 ,3.8,38184,Medium Maturity,Arcade & Action,5000000,10000000,1/29/13,-2,0,https://play.google.com/store/apps/details?id=com.mobage.ww.a692.Bahamut_Android
5,MARVEL War of Heroes,mobage,1.2.1,$0.00 ,3.93,7143,Low Maturity,Arcade & Action,1000000,5000000,1/29/13,2,1,https://play.google.com/store/apps/details?id=com.mobage.ww.a956.MARVEL_Card_Battle_Heroes_Android
6,TurboTax SnapTax,Intuit Inc,3.3,$0.00 ,4.68,14328,Low Maturity,Finance,500000,1000000,1/30/13,-1,-10,https://play.google.com/store/apps/details?id=com.intuit.instantreturn
7,Slotomania - slot machines,Playtika,1.18.0,$0.00 ,4.39,263180,Medium Maturity,Cards & Casino,5000000,10000000,1/28/13,1,2,https://play.google.com/store/apps/details?id=air.com.playtika.slotomania
8,The Hobbit: Kingdoms,Kabam,Varies with device,$0.00 ,4.08,13461,Medium Maturity,Arcade & Action,1000000,5000000,1/17/13,-1,1,https://play.google.com/store/apps/details?id=com.kabam.fortress
9,Slot City - slot machines,Dragonplay,1.24,$0.00 ,4.58,228560,Medium Maturity,Cards & Casino,5000000,10000000,1/27/13,1,1,https://play.google.com/store/apps/details?id=com.dragonplay.slotcity
12,Shipwrecked,"Kiwi, Inc.",1.1.6,$0.00 ,4.29,60503,Everyone,Casual,1000000,5000000,1/31/13,2,3,https://play.google.com/store/apps/details?id=com.kiwi.shipwrecked
10,DoubleDown Casino - Slots,"Double Down Interactive, LLC.",1.4.4,$0.00 ,4.16,17928,Medium Maturity,Cards & Casino,1000000,5000000,1/7/13,-1,-5,https://play.google.com/store/apps/details?id=com.ddi
11,Zynga Poker,Zynga,Varies with device,$0.00 ,4.47,260500,Medium Maturity,Cards & Casino,10000000,50000000,1/28/13,-1,-1,https://play.google.com/store/apps/details?id=com.zynga.livepoker
14,Kingdoms of Camelot: Battle,Kabam,Varies with device,$0.00 ,4.22,9285,Medium Maturity,Arcade & Action,1000000,5000000,1/10/13,0,1,https://play.google.com/store/apps/details?id=com.kabam.kocmobile
15,Minecraft - Pocket Edition,Mojang,Varies with device,$6.99 ,4.54,69158,Medium Maturity,Arcade & Action,1000000,5000000,1/30/13,-1,4,https://play.google.com/store/apps/details?id=com.mojang.minecraftpe
13,Live Hold'em Poker Pro,Dragonplay,5.4,$0.00 ,4.69,785395,Medium Maturity,Cards & Casino,10000000,50000000,1/21/13,-2,3,https://play.google.com/store/apps/details?id=com.dragonplay.liveholdempro
16,Temple Run 2,Imangi Studios,1.0.1,$0.00 ,4.54,127970,Low Maturity,Arcade & Action,10000000,50000000,1/24/13,-6,-185,https://play.google.com/store/apps/details?id=com.imangi.templerun2
17,BINGO Blitz by Buffalo Studios,"Buffalo Studios, LLC",2,$0.00 ,4.25,8336,Everyone,Cards & Casino,1000000,5000000,1/24/13,0,-5,https://play.google.com/store/apps/details?id=air.com.buffalo_studios.newflashbingo
19,Legend of the Cryptids,Applibot Inc.,4.3,$0.00 ,4.2,10095,Low Maturity,Cards & Casino,500000,1000000,1/17/13,-1,1,https://play.google.com/store/apps/details?id=jp.co.applibot.legend.android
18,Age of Empire,Silent Ocean,1.9.35,$0.00 ,4.23,26663,Medium Maturity,Arcade & Action,5000000,10000000,1/31/13,-3,-1,https://play.google.com/store/apps/details?id=com.stac.empire.main
21,Fantasica,mobage,1.9.0.2.4,$0.00 ,4.41,22832,Low Maturity,Casual,1000000,5000000,1/24/13,8,1,https://play.google.com/store/apps/details?id=com.mobage.ww.a793.fanta_test_Android
20,Bingo Bash,BitRhymes Inc,1.8.0,$0.00 ,4.3,39137,Low Maturity,Cards & Casino,1000000,5000000,1/7/13,1,3,https://play.google.com/store/apps/details?id=air.com.bitrhymes.bingo
22,Crime City,"GREE, INC",3.1.3,$0.00 ,4.43,79268,Medium Maturity,Arcade & Action,5000000,10000000,1/28/13,4,-4,https://play.google.com/store/apps/details?id=com.funzio.crimecity
23,Ruzzle,MAG Interactive,1.5.31,$1.99 ,3.9,6307,Everyone,Casual,100000,500000,1/29/13,0,0,https://play.google.com/store/apps/details?id=se.maginteractive.rumble
24,Subway Surfers,Kiloo Games,1.7.3,$0.00 ,4.64,291617,Low Maturity,Arcade & Action,10000000,50000000,1/31/13,-1,-1,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf
25,DragonVale,"Backflip Studios, Inc.",1.12.2,$0.00 ,4.44,18177,Everyone,Casual,1000000,5000000,1/4/13,1,4,https://play.google.com/store/apps/details?id=com.backflipstudios.android.dragonvale
26,Jackpot Slots - Slot Machines,"GREE, INC",1.1.19,$0.00 ,4.46,6454,Medium Maturity,Cards & Casino,500000,1000000,1/30/13,-1,-14,https://play.google.com/store/apps/details?id=jp.gree.jackpot
27,FoxFi Full Version Key,FoxFi Service,1.02,$6.97 ,3.7,1896,Everyone,Communication,100000,500000,11/19/12,1,-1,https://play.google.com/store/apps/details?id=com.foxfi.key
28,Modern War,"GREE, INC",3.2.2,$0.00 ,4.32,37742,Medium Maturity,Arcade & Action,1000000,5000000,1/30/13,0,14,https://play.google.com/store/apps/details?id=jp.gree.modernwar
31,Megapolis,Social Quantum Ltd,1.3,$0.00 ,4.05,22556,Everyone,Arcade & Action,1000000,5000000,1/29/13,2,2,https://play.google.com/store/apps/details?id=com.socialquantum.acityint
30,Plague Inc.,Miniclip.com,1.1.3,$0.00 ,4.62,138051,Low Maturity,Brain & Puzzle,1000000,5000000,1/11/13,0,-1,https://play.google.com/store/apps/details?id=com.miniclip.plagueinc
29,GSN Casino,GSN.com,2.5.1.136,$0.00 ,4.42,35870,Medium Maturity,Cards & Casino,1000000,5000000,1/28/13,-2,-1,https://play.google.com/store/apps/details?id=com.gsn.android.casino
32,Tiny Monsters,TinyCo,2.0.2,$0.00 ,4.31,55758,Everyone,Casual,1000000,5000000,12/29/12,0,-11,https://play.google.com/store/apps/details?id=com.tinyco.monsters
34,Bike Race Free - Top Free Game,Top Free Games.,2.1.18,$0.00 ,4.57,185048,Low Maturity,Arcade & Action,10000000,50000000,1/31/13,1,2,https://play.google.com/store/apps/details?id=com.topfreegames.bikeracefreeworld
36,Family FeudÂ® & Friends,Ludia Inc.,1.1.8,$0.00 ,4.3,99284,Medium Maturity,Casual,1000000,5000000,1/31/13,1,2,https://play.google.com/store/apps/details?id=com.ludia.familyfeudandfriends.free
38,Comics,comiXology,3.0.7.9,$0.00 ,4.13,10299,Medium Maturity,Comics,1000000,5000000,1/8/13,4,1,https://play.google.com/store/apps/details?id=com.iconology.comics
37,Drag Racing,Creative Mobile,1.5.4,$0.00 ,4.53,575956,Everyone,Racing,50000000,100000000,1/18/13,0,-1,https://play.google.com/store/apps/details?id=com.creativemobile.DragRacing
33,Billing plugin for LE,Camel Games,1.0.7,$0.00 ,3.73,3152,Low Maturity,Casual,500000,1000000,9/20/12,-10,-15,https://play.google.com/store/apps/details?id=com.camelgames.googlecheckout
35,Ninja Action RPG: Ninja Royale,mobage,1.9.0.4.6,$0.00 ,4.7,75584,Low Maturity,Arcade & Action,1000000,5000000,1/24/13,-6,-10,https://play.google.com/store/apps/details?id=com.mobage.ww.a467.TapSlashNinja_Sandbox
41,Texas Poker,KamaGames,4.1.2,$0.00 ,4.19,51820,Medium Maturity,Cards & Casino,10000000,50000000,1/28/13,1,-1,https://play.google.com/store/apps/details?id=com.kamagames.pokerist
44,Tiny Village,TinyCo,1.16.1,$0.00 ,4.4,251137,Everyone,Casual,5000000,10000000,11/14/12,8,-20,https://play.google.com/store/apps/details?id=com.tinyco.village
40,The Simsâ„¢ FreePlay,Electronic Arts Inc,1.8.6,$0.00 ,4.5,144716,Low Maturity,Casual,1000000,5000000,1/29/13,1,4,https://play.google.com/store/apps/details?id=com.ea.games.simsfreeplay_na
47,Deity Wars,mobage,2.3,$0.00 ,4.09,8839,Low Maturity,Arcade & Action,1000000,5000000,1/30/13,5,6,https://play.google.com/store/apps/details?id=com.mobage.ww.a804.RAGNABREAK_Android
45,SwiftKey 3 Keyboard,SwiftKey,3.1.0.377,$3.99 ,4.56,96305,Everyone,Productivity,1000000,5000000,1/29/13,0,-2,https://play.google.com/store/apps/details?id=com.touchtype.swiftkey
42,Arcane Empires,Kabam,Varies with device,$0.00 ,4.36,13658,Medium Maturity,Arcade & Action,500000,1000000,11/22/12,4,7,https://play.google.com/store/apps/details?id=com.kabam.arcaneempires
39,Ayakashi: Ghost Guild,Zynga,1.9.0,$0.00 ,4.58,27628,Everyone,Casual,1000000,5000000,1/18/13,-11,-52,https://play.google.com/store/apps/details?id=com.zynga.zjayakashi
61,The Tribez,Game Insight International,Varies with device,$0.00 ,4.6,140738,Low Maturity,Arcade & Action,1000000,5000000,12/18/12,15,9,https://play.google.com/store/apps/details?id=com.gameinsight.tribez
49,Hill Climb Racing,Fingersoft,1.5.2,$0.00 ,4.67,354642,Low Maturity,Racing,10000000,50000000,1/8/13,1,5,https://play.google.com/store/apps/details?id=com.fingersoft.hillclimb
46,Restaurant Story: Valentineâ€™s,TeamLava Games,1.5.5.4,$0.00 ,4.52,8198,Everyone,Casual,1000000,5000000,1/29/13,-5,-51,https://play.google.com/store/apps/details?id=com.teamlava.restaurantstory5
43,HellFire,mobage,1.2.1,$0.00 ,4.68,14066,Medium Maturity,Arcade & Action,1000000,5000000,12/19/12,-6,19,https://play.google.com/store/apps/details?id=com.mobage.ww.a953.Fuzion_Android
48,Best Casino Slots,diwip ltd,1.0.24,$0.00 ,4.69,53114,Medium Maturity,Cards & Casino,1000000,5000000,1/15/13,1,2,https://play.google.com/store/apps/details?id=com.diwip.vslots
52,FINAL FANTASY DIMENSIONS,"SQUARE ENIX Co.,Ltd.",1.0.2,$19.99 ,4.48,590,Low Maturity,Arcade & Action,10000,50000,1/23/13,8,19,https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.ffl_gp
54,Big Fish Casino,Big Fish Games,4.4.0,$0.00 ,4.01,6922,Medium Maturity,Cards & Casino,1000000,5000000,1/11/13,2,5,https://play.google.com/store/apps/details?id=com.selfawaregames.acecasino
50,Texas HoldEm Poker Deluxe,IGG.COM,1.3.2,$0.00 ,4.65,78860,Medium Maturity,Cards & Casino,1000000,5000000,1/31/13,-4,-1,https://play.google.com/store/apps/details?id=com.igg.pokerdeluxe
53,Smurfs' Village,"Beeline Interactive, Inc.",SmurfsAndroid,$0.00 ,4.57,368058,Low Maturity,Casual,10000000,50000000,1/18/13,-2,14,https://play.google.com/store/apps/details?id=com.capcom.smurfsandroid
63,NHL GameCenterâ„¢,"NHL Interactive Cyberenterprises, L.P.",3.0116,$0.00 ,3.33,4742,Low Maturity,Sports,500000,1000000,1/16/13,10,36,https://play.google.com/store/apps/details?id=com.nhl.gc1112.free
55,Diamond Dash,Wooga,1.1,$0.00 ,4.63,88350,Everyone,Arcade & Action,5000000,10000000,1/17/13,-2,1,https://play.google.com/store/apps/details?id=com.wooga.diamonddash
62,Paradise Island,Game Insight International,2.1.4,$0.00 ,4.64,654664,Everyone,Arcade & Action,5000000,10000000,1/24/13,4,-12,https://play.google.com/store/apps/details?id=com.seventeenbullets.android.island
57,Kingdoms at War,"A Thinking Ape, Inc.",2.66,$0.00 ,4.63,13769,Everyone,Arcade & Action,500000,1000000,1/24/13,-3,2,https://play.google.com/store/apps/details?id=ata.squid.kaw
64,Noom Weight Loss Coach,Noom Inc.,3.2.13,$0.00 ,4.34,42909,Low Maturity,Health & Fitness,5000000,10000000,1/22/13,8,-25,https://play.google.com/store/apps/details?id=com.wsl.noom
60,Pet Shop Storyâ„¢,TeamLava Games,1.0.5.7,$0.00 ,4.41,41485,Everyone,Casual,1000000,5000000,9/21/12,1,2,https://play.google.com/store/apps/details?id=com.teamlava.petshop
58,Slot Galaxy HD Slot Machines,Galaxy Star Entertainment,1.0.63,$0.00 ,4.58,11941,Medium Maturity,Cards & Casino,500000,1000000,1/30/13,-4,1,https://play.google.com/store/apps/details?id=air.com.slotgalaxy
59,DH Texas Poker,DroidHen,1.2.8,$0.00 ,4.56,34183,Medium Maturity,Cards & Casino,1000000,5000000,12/29/12,-4,-9,https://play.google.com/store/apps/details?id=com.droidhen.game.poker
56,Nemo's Reef,Disney,1.2.3,$0.00 ,4.28,9132,Everyone,Casual,1000000,5000000,1/23/13,-12,-52,https://play.google.com/store/apps/details?id=com.disney.nemo
67,Need for Speedâ„¢ Most Wanted,Electronic Arts Inc,1.0.46,$4.99 ,3.72,4841,Everyone,Racing,100000,500000,1/29/13,6,17,https://play.google.com/store/apps/details?id=com.ea.games.nfs13_na
66,Scramble With Friends Free,Zynga,4.87,$0.00 ,4.6,363134,Everyone,Brain & Puzzle,5000000,10000000,1/29/13,1,6,https://play.google.com/store/apps/details?id=com.zynga.scramble
65,Campus Life,Pocket Gems,1.138,$0.00 ,4,6471,Everyone,Casual,500000,1000000,1/25/13,-1,6,https://play.google.com/store/apps/details?id=com.pocketgems.android.campuslife
69,Tap Paradise Cove,Pocket Gems,2.20.11,$0.00 ,4.17,7555,Everyone,Casual,1000000,5000000,1/31/13,5,8,https://play.google.com/store/apps/details?id=com.pocketgems.android.tapparadisecove
70,Bloons TD 5,ninja kiwi,1,$2.99 ,4.46,1388,Everyone,Arcade & Action,50000,100000,12/19/12,3,17,https://play.google.com/store/apps/details?id=com.ninjakiwi.bloonstd5
68,Fashion Storyâ„¢,TeamLava Games,1.5.5.2,$0.00 ,4.31,107287,Everyone,Casual,5000000,10000000,1/11/13,-1,-4,https://play.google.com/store/apps/details?id=com.teamlava.fashionstory
73,Fort Conquer,DroidHen,1.0.7,$0.00 ,4.51,14895,Low Maturity,Arcade & Action,1000000,5000000,1/30/13,2,-10,https://play.google.com/store/apps/details?id=com.droidhen.fortconquer
51,What's the Word? 4 Pics 1 Word,LOTUM GmbH,2.0.1,$0.00 ,4.85,118773,Everyone,Brain & Puzzle,500000,1000000,1/30/13,-38,,https://play.google.com/store/apps/details?id=de.lotum.whatsinthefoto.en
71,Slots Journey,Murka,4,$0.00 ,4.31,69292,Medium Maturity,Cards & Casino,1000000,5000000,12/28/12,-1,8,https://play.google.com/store/apps/details?id=com.fishsticksgames.SlotsJourney
72,Slot Machine Deluxe,Candy Mobile,1.15,$0.00 ,4.49,56164,Medium Maturity,Casual,5000000,10000000,1/23/13,2,-1,https://play.google.com/store/apps/details?id=com.play.slot
75,Flow Free,Big Duck Games LLC,2,$0.00 ,4.66,131205,Everyone,Brain & Puzzle,10000000,50000000,11/15/12,0,13,https://play.google.com/store/apps/details?id=com.bigduckgames.flow
78,Zombie Frontier,FT Games,1.09,$0.00 ,4.41,97929,High Maturity,Arcade & Action,10000000,50000000,1/30/13,2,2,https://play.google.com/store/apps/details?id=com.feelingtouch.gunzombie
83,Fun Run - Multiplayer Race,dirtyBit,1.2.3,$0.00 ,4.07,16110,Low Maturity,Arcade & Action,5000000,10000000,1/30/13,9,27,https://play.google.com/store/apps/details?id=no.dirtybit.funrun
76,The Oregon Trail: Settler,Gameloft,1.1.3,$0.00 ,4.58,162616,Low Maturity,Casual,5000000,10000000,12/7/12,-1,-54,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftTOHM
81,Scramble With Friends,Zynga,4.85,$0.99 ,4.56,26306,Everyone,Brain & Puzzle,100000,500000,1/29/13,3,10,https://play.google.com/store/apps/details?id=com.zynga.scramble.paid
84,Marvel Comics,Marvel Comics,3.0.7.9,$0.00 ,4.18,8074,Low Maturity,Comics,1000000,5000000,1/8/13,11,15,https://play.google.com/store/apps/details?id=com.marvel.comics
77,Slots by Zynga,Zynga,1.7.6,$0.00 ,3.94,49621,Medium Maturity,Cards & Casino,1000000,5000000,1/9/13,-2,2,https://play.google.com/store/apps/details?id=com.zynga.slots.free
79,Life is Crime,Red Robot Labs,1.7.3.1,$0.00 ,4.35,46163,Medium Maturity,Casual,1000000,5000000,1/25/13,-6,-79,https://play.google.com/store/apps/details?id=com.redrobotlabs.lifeiscrime
74,Brightwood Adventures FREE,"Kiwi, Inc.",1.9.4,$0.00 ,4.45,59272,Low Maturity,Casual,1000000,5000000,1/31/13,-8,7,https://play.google.com/store/apps/details?id=com.kiwi.wabeta
86,Coin Dozer,Game Circus LLC,Varies with device,$0.00 ,4.59,354069,Everyone,Cards & Casino,10000000,50000000,1/15/13,6,5,https://play.google.com/store/apps/details?id=com.leftover.CoinDozer
82,Dragon Story: New Dawn,TeamLava Games,1.0.5.4.2,$0.00 ,4.38,15604,Everyone,Casual,1000000,5000000,12/1/12,-2,16,https://play.google.com/store/apps/details?id=com.teamlava.dragon2
87,MeetMe - Meet New People,MeetMe.com,5.3.1,$0.00 ,4.23,227347,Medium Maturity,Social,5000000,10000000,1/22/13,6,9,https://play.google.com/store/apps/details?id=com.myyearbook.m
80,ZENONIAÂ® 5,GAMEVIL Inc.,1.0.6,$0.00 ,4.55,110203,Low Maturity,Arcade & Action,1000000,5000000,1/28/13,-6,0,https://play.google.com/store/apps/details?id=com.gamevil.zenonia5.global
88,Words With Friends Free,Zynga,5.8.0,$0.00 ,4.32,1244376,Everyone,Brain & Puzzle,10000000,50000000,1/30/13,5,11,https://play.google.com/store/apps/details?id=com.zynga.words
89,Party in my Dorm,"A Thinking Ape, Inc.",2.32,$0.00 ,4.36,8696,Medium Maturity,Casual,500000,1000000,1/20/13,2,3,https://play.google.com/store/apps/details?id=ata.squid.pimd
90,DocumentsToGo Full Version Key,"DataViz, Inc.",3.001,$14.95 ,4.24,16040,Everyone,Business,500000,1000000,10/21/10,2,8,https://play.google.com/store/apps/details?id=com.dataviz.docstogoapp
85,Cerberus Age - Addicting Game,"GREE, Inc.",1.1.10,$0.00 ,4,7292,Low Maturity,Arcade & Action,1000000,5000000,1/28/13,-10,-8,https://play.google.com/store/apps/details?id=jp.gree.android.pf.greeapp53190
93,World Series of Poker,Electronic Arts Inc,1.4.0,$0.00 ,4.04,6820,Medium Maturity,Cards & Casino,500000,1000000,1/18/13,3,1,https://play.google.com/store/apps/details?id=com.ea.game.wsop_na
96,Angry Birds,Rovio Mobile Ltd.,3.0.0,$0.00 ,4.6,1539297,Low Maturity,Arcade & Action,100000000,500000000,12/11/12,4,17,https://play.google.com/store/apps/details?id=com.rovio.angrybirds
94,textPlus Free Text + Calls,textPlus,5.7.4.4243,$0.00 ,4.2,85779,Medium Maturity,Social,5000000,10000000,1/25/13,3,-1,https://play.google.com/store/apps/details?id=com.gogii.textplus
99,Monster Warlord,GAMEVIL Inc.,1.0.8,$0.00 ,4.53,48796,Low Maturity,Arcade & Action,1000000,5000000,1/24/13,6,0,https://play.google.com/store/apps/details?id=com.gamevil.monster.global
92,Arcane Legends,Spacetime Studios,1.0.5.0,$0.00 ,4.62,41960,Low Maturity,Arcade & Action,1000000,5000000,1/16/13,-2,5,https://play.google.com/store/apps/details?id=sts.al
91,Gnome Village,Disney,1.3.1,$0.00 ,3.73,1835,Everyone,Casual,500000,1000000,1/28/13,-8,6,https://play.google.com/store/apps/details?id=air.com.disney.GnomeVillage.GooglePlay
97,Grand Theft Auto III,"Rockstar Games, Inc.",1.3,$4.99 ,3.46,31665,High Maturity,Arcade & Action,500000,1000000,1/26/13,1,13,https://play.google.com/store/apps/details?id=com.rockstar.gta3
100,Call of Duty Black Ops Zombies,Glu Mobile,Varies with device,$6.99 ,3.75,5354,High Maturity,Arcade & Action,100000,500000,12/11/12,3,12,https://play.google.com/store/apps/details?id=com.atv.blackops
95,Bakery Storyâ„¢,TeamLava Games,1.5.5.7,$0.00 ,4.43,173249,Everyone,Casual,10000000,50000000,1/11/13,-5,-1,https://play.google.com/store/apps/details?id=com.teamlava.bakerystory
103,Norton Security & Antivirus,Symantec Corporation,3.3.0.892,$0.00 ,4.42,83016,Low Maturity,Tools,5000000,10000000,1/24/13,5,-31,https://play.google.com/store/apps/details?id=com.symantec.mobilesecurity
102,NBA Game Time 2012-13,NBA Digital,3.3,$0.00 ,4.19,27155,Low Maturity,Sports,1000000,5000000,1/29/13,-7,-69,https://play.google.com/store/apps/details?id=com.nbadigital.gametimelite
101,Forces of War,Uken Games,1.25,$0.00 ,4.54,13227,Medium Maturity,Arcade & Action,1000000,5000000,12/5/12,0,-80,https://play.google.com/store/apps/details?id=com.uken.android.forcesofwar
104,Exchange by TouchDown Key,"NitroDesk, Inc.",7.0.001,$19.99 ,4.44,5420,Everyone,Business,100000,500000,3/15/12,1,2,https://play.google.com/store/apps/details?id=com.nitrodesk.touchdownpro
105,Crime Inc.,Uken Games,1.26,$0.00 ,4.45,8184,High Maturity,Arcade & Action,100000,500000,1/15/13,-1,-123,https://play.google.com/store/apps/details?id=com.uken.android.crimeinc
107,Grand Theft Auto: Vice City,"Rockstar Games, Inc.",1.03,$4.99 ,3.84,7971,High Maturity,Arcade & Action,100000,500000,12/18/12,3,6,https://play.google.com/store/apps/details?id=com.rockstargames.gtavc
98,PBAÂ® Bowling Challenge,"Concrete Software, Inc.",1.0.3,$0.00 ,4.57,6335,Everyone,Sports Games,500000,1000000,1/22/13,-25,-266,https://play.google.com/store/apps/details?id=com.concretesoftware.pbachallenge_androidmarket
117,Royal Revolt!,flaregames,1.3.2,$0.00 ,4.59,9624,Low Maturity,Arcade & Action,1000000,5000000,1/28/13,15,6,https://play.google.com/store/apps/details?id=com.flaregames.royalrevolt
110,Big Win Football,Hothead Games,2.0.4,$0.00 ,4.26,23482,Low Maturity,Sports Games,1000000,5000000,1/24/13,5,3,https://play.google.com/store/apps/details?id=com.hotheadgames.google.free.bigwinfootball
116,Treasure Quest,"GREE, Inc.",1.1.2,$0.00 ,3.98,3268,Low Maturity,Arcade & Action,500000,1000000,1/22/13,-5,1,https://play.google.com/store/apps/details?id=jp.gree.android.pf.greeapp53188
111,Bingo Blingo,SGN,1.6.70,$0.00 ,3.93,2012,Everyone,Cards & Casino,100000,500000,1/23/13,1,6,https://play.google.com/store/apps/details?id=air.com.sgn.bingo.google
112,Survivalcraft,Candy Rufus Games,1.19.4.0,$3.92 ,4.53,1743,Low Maturity,Arcade & Action,50000,100000,1/13/13,1,3,https://play.google.com/store/apps/details?id=com.candyrufusgames.survivalcraft
113,Defender II,DroidHen,1.2.9,$0.00 ,4.57,144589,Low Maturity,Arcade & Action,5000000,10000000,9/24/12,0,-3,https://play.google.com/store/apps/details?id=com.droidhen.defender2
109,DC Comics,comiXology,3.0.7.9,$0.00 ,4.18,3066,Low Maturity,Comics,1000000,5000000,1/8/13,1,-3,https://play.google.com/store/apps/details?id=com.dccomics.comics
114,OfficeSuite Pro 6 + (PDF & HD),MobiSystems,Varies with device,$14.99 ,4.29,14859,Everyone,Business,500000,1000000,1/21/13,7,11,https://play.google.com/store/apps/details?id=com.mobisystems.editor.office_registered
119,Dragon Storyâ„¢,TeamLava Games,1.0.5.4,$0.00 ,4.34,36526,Everyone,Casual,1000000,5000000,1/3/13,-3,2,https://play.google.com/store/apps/details?id=com.teamlava.dragon
123,FINAL FANTASY III,"SQUARE ENIX Co.,Ltd.",1.0.2,$15.99 ,4.6,7858,Low Maturity,Arcade & Action,100000,500000,7/4/12,11,33,https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.FFIII_GP
106,Tagged - Meet New People,"Tagged, Inc",Varies with device,$0.00 ,4.15,210314,High Maturity,Social,1000000,5000000,12/12/12,-10,-12,https://play.google.com/store/apps/details?id=com.taggedapp
115,Angry Birds Star Wars,Rovio Mobile Ltd.,1.1.2,$0.00 ,4.47,219835,Low Maturity,Arcade & Action,10000000,50000000,1/31/13,1,9,https://play.google.com/store/apps/details?id=com.rovio.angrybirdsstarwars.ads.iap
118,Fashion Story: Christmas,TeamLava Games,1.5.5.2,$0.00 ,4.41,9491,Everyone,Casual,1000000,5000000,1/11/13,-1,18,https://play.google.com/store/apps/details?id=com.teamlava.fashionstory8
122,Lookout Security & Antivirus,Lookout Mobile Security,Varies with device,$0.00 ,4.52,396654,Low Maturity,Tools,10000000,50000000,1/25/13,7,-33,https://play.google.com/store/apps/details?id=com.lookout
120,Titanium Backup PRO Key â˜… root,Titanium Track,1.2.3,$6.58 ,4.83,37812,Everyone,Tools,500000,1000000,1/27/13,2,-11,https://play.google.com/store/apps/details?id=com.keramidas.TitaniumBackupPro
121,Slots Social Casino,Playport,1.3.1,$0.00 ,4.05,8958,Medium Maturity,Cards & Casino,1000000,5000000,1/30/13,1,-7,https://play.google.com/store/apps/details?id=net.imcjapan.android.casino
