Rank,Title,Developer,Version,Price (USD),Rating,Votes,Content Rating,Category,Min Installs,Max Installs,Updated,Rank Change (Day),Rank Change (Week),URL
365,GUN ZOMBIE : HELLGATE,PNIX Games,3.2,$0.00 ,4.61,78060,Medium Maturity,Arcade & Action,1000000,5000000,1/10/13,10,24,https://play.google.com/store/apps/details?id=com.pnixgames.gunzombieHellGate
355,Tiny FarmÂ®,Com2uS,1.03.00,$0.00 ,4.42,284257,Everyone,Casual,5000000,10000000,1/24/13,-9,-22,https://play.google.com/store/apps/details?id=com.com2us.tinyfarm.normal.freefull.google.global.android.common
363,GrooVe IP,snrb Labs,1.3.4,$4.99 ,4.19,3255,Everyone,Communication,50000,100000,11/19/12,-7,6,https://play.google.com/store/apps/details?id=com.gvoip
391,Truck GPS Route - Subscription,TeleType,1.2.10.1,$0.00 ,4.3,33,Low Maturity,Transportation,5000,10000,1/28/13,13,19,https://play.google.com/store/apps/details?id=com.teletype.smarttruckroute
372,BLOOD & GLORY: LEGEND,Glu Mobile,2.0.2,$0.00 ,4.69,159421,High Maturity,Arcade & Action,1000000,5000000,11/9/12,-16,-19,https://play.google.com/store/apps/details?id=com.glu.gladiator2
393,Magnus Ignis,GREE Inc,1.0.4,$0.00 ,4.77,2405,Low Maturity,Arcade & Action,10000,50000,1/25/13,-26,-54,https://play.google.com/store/apps/details?id=net.gree.android.pf.greeapp57814a
367,BeyondPod Unlock Key,BeyondPod Team,1.0.2,$6.99 ,4.64,2428,Everyone,Libraries & Demo,100000,500000,1/10/13,-2,-33,https://play.google.com/store/apps/details?id=mobi.beyondpod.unlockkey
337,SuperSU Pro,Chainfire,1,$2.49 ,4.83,1307,Low Maturity,Tools,50000,100000,3/9/12,-102,,https://play.google.com/store/apps/details?id=eu.chainfire.supersu.pro
364,Couch-to-5K,"The ACTIVE Network, Inc.",1.7.1.0005,$2.99 ,4.26,299,Low Maturity,Health & Fitness,50000,100000,1/30/13,-22,-51,https://play.google.com/store/apps/details?id=com.active.aps.c25k
411,SPB Shell 3D,SPB Software,1.6.3,$14.95 ,4.03,35990,Low Maturity,Personalization,500000,1000000,9/4/12,46,75,https://play.google.com/store/apps/details?id=com.spb.shell3d
380,ROM Manager,ClockworkMod,5.5.1.7,$0.00 ,4.6,126842,Everyone,Tools,5000000,10000000,1/28/13,13,-22,https://play.google.com/store/apps/details?id=com.koushikdutta.rommanager
382,Cartoon Wars 2,GAMEVIL Inc.,1.0.3,$0.00 ,4.63,96700,Medium Maturity,Arcade & Action,1000000,5000000,12/13/12,-13,-16,https://play.google.com/store/apps/details?id=com.gamevil.cartoonwars.two.global
378,Invoice2go - Invoice App,Invoice2go,6.1.1,$9.99 ,4,561,Everyone,Business,10000,50000,1/24/13,-6,-50,https://play.google.com/store/apps/details?id=com.invoice2gofull
375,GO Launcher EX,GO Launcher Dev Team,3.27,$0.00 ,4.56,1048000,Everyone,Personalization,50000000,100000000,1/28/13,-7,-33,https://play.google.com/store/apps/details?id=com.gau.go.launcherex
384,Beach Buggy Blitz,Vector Unit,1.2.1,$0.00 ,4.41,40753,Everyone,Racing,5000000,10000000,1/14/13,12,39,https://play.google.com/store/apps/details?id=com.vectorunit.yellow
407,City Storyâ„¢,TeamLava Games,1.0.7,$0.00 ,4.45,41295,Everyone,Casual,1000000,5000000,1/25/12,36,-24,https://play.google.com/store/apps/details?id=com.teamlava.citystory
362,Papaya Farm 2011,Papaya Mobile Inc.,3.07,$0.00 ,3.96,12572,Low Maturity,Casual,1000000,5000000,11/29/12,-17,-18,https://play.google.com/store/apps/details?id=com.papaya.papayafarm2012
385,FxGuru:  Movie FX Director,Picadelic,1.0.4,$0.00 ,4.65,3896,Low Maturity,Entertainment,100000,500000,1/30/13,8,12,https://play.google.com/store/apps/details?id=com.picadelic.fxguru
379,PlayerPro Music Player,BlastOn LLC,2.51,$4.44 ,4.63,22514,Everyone,Music & Audio,100000,500000,1/17/13,-4,19,https://play.google.com/store/apps/details?id=com.tbig.playerpro
404,Restaurant Story: Christmas,TeamLava Games,1.5.5.4,$0.00 ,4.47,11195,Everyone,Casual,1000000,5000000,1/11/13,43,194,https://play.google.com/store/apps/details?id=com.teamlava.restaurantstory8
396,FIFA 12 by EA SPORTS,Electronic Arts Inc,1.3.98,$6.99 ,3.41,1400,Everyone,Sports Games,50000,100000,1/29/13,16,27,https://play.google.com/store/apps/details?id=com.ea.game.fifa12_na
402,Dream Zoo,Zynga,1.5.2,$0.00 ,4.37,87780,Low Maturity,Casual,1000000,5000000,10/18/12,28,59,https://play.google.com/store/apps/details?id=com.zynga.dreamzoo
399,Truck Pulling,Michael Bowen,1.0.4,$0.99 ,3.63,24,Everyone,Arcade & Action,5000,10000,1/9/13,18,18,https://play.google.com/store/apps/details?id=com.michaelbowen.truckpulling
412,Tractor Pull,Antithesis Design,20130122,$0.00 ,3.76,6947,Medium Maturity,Sports Games,1000000,5000000,1/22/13,44,118,https://play.google.com/store/apps/details?id=com.anddgn.tp.main
381,Apex Launcher Pro,Android Does,1,$3.99 ,4.62,6987,Everyone,Personalization,100000,500000,10/18/12,6,30,https://play.google.com/store/apps/details?id=com.anddoes.launcher.pro
390,WidgetLocker Lockscreen,TeslaCoil Software,2.3.2r1,$2.99 ,4.28,18211,Everyone,Personalization,500000,1000000,12/12/12,5,34,https://play.google.com/store/apps/details?id=com.teslacoilsw.widgetlocker
370,Monster Paradise - Card Battle,Aeria Mobile,1.7,$0.00 ,3.94,379,Low Maturity,Arcade & Action,10000,50000,1/18/13,-60,-90,https://play.google.com/store/apps/details?id=com.aeriamobile.android.monsterparadise
397,MX Player Pro,J2 Interactive,1.7.10,$5.70 ,4.65,5924,Everyone,Media & Video,100000,500000,1/28/13,4,31,https://play.google.com/store/apps/details?id=com.mxtech.videoplayer.pro
388,Little Dragons,PlayCoMo,1.0.220,$0.00 ,4.41,59300,Low Maturity,Casual,1000000,5000000,12/20/12,-19,21,https://play.google.com/store/apps/details?id=com.playcomo.dragongame
478,iMobstersâ„¢ - 12 Favor Points,Storm8 Games,1.4.2,$0.00 ,4.51,22213,Medium Maturity,Casual,1000000,5000000,1/21/13,115,194,https://play.google.com/store/apps/details?id=com.storm8.imobsters12
377,NQ Mobile Security & Antivirus,NQ Mobile Security,6.8.00.00,$0.00 ,4.45,55299,Low Maturity,Productivity,5000000,10000000,1/10/13,1,14,https://play.google.com/store/apps/details?id=com.nqmobile.antivirus20
400,Screenshot UX,SmartUX,1.7.8,$3.99 ,4.47,4498,Everyone,Tools,50000,100000,9/16/12,9,-1,https://play.google.com/store/apps/details?id=com.liveov.shotux
386,Real Soccer 2013,Gameloft,Varies with device,$0.00 ,4.01,16389,Low Maturity,Sports Games,500000,1000000,12/24/12,-17,21,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftS3HM
394,Pou,Zakeh,1.2.9,$0.00 ,4.67,241890,Everyone,Casual,10000000,50000000,1/31/13,-4,-72,https://play.google.com/store/apps/details?id=me.pou.app
392,CONTRACT KILLER: ZOMBIES (NR),Glu Mobile,3.1.0,$0.00 ,4.51,167398,High Maturity,Arcade & Action,5000000,10000000,6/19/12,2,6,https://play.google.com/store/apps/details?id=com.glu.android.zombsniper
342,Tiny Tower,mobage,1.7.0.8,$0.00 ,4.62,122066,Low Maturity,Casual,1000000,5000000,1/7/13,-92,-7,https://play.google.com/store/apps/details?id=com.mobage.ww.a560.tinytower_android
408,Doodle Jump,GameHouse,Varies with device,$0.99 ,4.29,34761,Everyone,Arcade & Action,1000000,5000000,1/16/13,14,62,https://play.google.com/store/apps/details?id=com.realarcade.DOJ
410,CrossMe,Mobile Dynamix,1.7.7,$0.00 ,4.58,5640,Everyone,Brain & Puzzle,500000,1000000,12/28/12,23,96,https://play.google.com/store/apps/details?id=com.mobiledynamix.crossme
409,Phase 10,Magmic Inc,1.2.0,$0.99 ,4.42,14566,Everyone,Cards & Casino,100000,500000,12/7/12,10,13,https://play.google.com/store/apps/details?id=com.magmic.phase10
387,Vampires Liveâ„¢,Storm8 Games,1.4.3,$0.00 ,4.38,24286,Medium Maturity,Arcade & Action,1000000,5000000,1/22/13,-48,-36,https://play.google.com/store/apps/details?id=com.storm8.vampires12
431,Bible Study,Olive Tree Bible+,5.3.0.110023,$0.00 ,4.45,4876,Everyone,Books & Reference,500000,1000000,1/15/13,31,36,https://play.google.com/store/apps/details?id=biblereader.olivetree
424,Ski Safari,Defiant Development,1.4.0,$0.99 ,4.83,26747,Everyone,Arcade & Action,100000,500000,12/13/12,35,101,https://play.google.com/store/apps/details?id=com.DefiantDev.SkiSafari
405,Pinger: Text Free + Call Free,"Pinger, Inc.",1.1.4,$0.00 ,4.31,13268,Medium Maturity,Communication,1000000,5000000,12/20/12,9,-19,https://play.google.com/store/apps/details?id=com.pinger.ppa
383,McAfee Antivirus & Security,McAfee Mobile Security,2.3.0.450,$0.00 ,4.03,10574,Low Maturity,Productivity,1000000,5000000,12/4/12,-18,8,https://play.google.com/store/apps/details?id=com.wsandroid.suite
417,ezPDF Reader Multimedia PDF,Unidocs Inc.,2.0.6.0,$4.06 ,4.56,13077,Everyone,Productivity,100000,500000,1/24/13,0,,https://play.google.com/store/apps/details?id=udk.android.reader
401,PicSay Pro - Photo Editor,Shinycore,1.6,$3.99 ,4.74,18282,Everyone,Photography,500000,1000000,1/27/13,-9,-49,https://play.google.com/store/apps/details?id=com.shinycore.picsaypro
423,Construction Master Pro,Calculated Industries,1.0.8,$19.99 ,4.84,439,Everyone,Tools,10000,50000,12/5/12,31,-4,https://play.google.com/store/apps/details?id=com.hydrix.laurene
416,Dead Spaceâ„¢,Electronic Arts Inc,1.1.40,$6.99 ,3.72,4237,Medium Maturity,Arcade & Action,100000,500000,1/18/13,7,-23,https://play.google.com/store/apps/details?id=com.ea.deadspace_na
389,Warriors of Odin,mobage,1.1.1,$0.00 ,4.22,789,Low Maturity,Arcade & Action,50000,100000,11/28/12,-31,-80,https://play.google.com/store/apps/details?id=com.mobage.ww.a975.Warriors_of_Valhalla_Android
419,Age of Legends: Kingdoms RPG,Uken Games,1.26,$0.00 ,4.5,5560,Medium Maturity,Arcade & Action,100000,500000,1/15/13,7,,https://play.google.com/store/apps/details?id=com.uken.android.ageoflegends
413,My Singing Monsters,Big Blue Bubble,1.1.2,$0.00 ,4.39,3287,Everyone,Casual,100000,500000,1/16/13,7,51,https://play.google.com/store/apps/details?id=com.bigbluebubble.singingmonsters.full
422,Sleep as Android Unlock,Urbandroid (Petr NÃ¡levka),20130115,$2.89 ,4.52,3388,Everyone,Lifestyle,100000,500000,1/15/13,11,0,https://play.google.com/store/apps/details?id=com.urbandroid.sleep.full.key
420,Monster Pet Shop,"Beeline Interactive, Inc.",MonsterPetShop,$0.00 ,4.69,41714,Everyone,Casual,1000000,5000000,12/21/12,12,16,https://play.google.com/store/apps/details?id=com.capcom.monsterpetshop
425,AdobeÂ® PhotoshopÂ® Touch,Adobe Systems,1.4.1,$9.99 ,3.87,1056,Everyone,Photography,50000,100000,11/28/12,21,51,https://play.google.com/store/apps/details?id=air.com.adobe.pstouch
436,iTunes to android wireless pro,The Bit Studio,1.13,$3.25 ,4.45,92,High Maturity,Music & Audio,5000,10000,1/31/13,34,108,https://play.google.com/store/apps/details?id=mahmed.net.synctuneswirelesspro
398,Rescue Roby HD,Runaway Studios Inc.,Varies with device,$1.99 ,4.72,87,Everyone,Arcade & Action,5000,10000,1/27/13,-45,,https://play.google.com/store/apps/details?id=com.missingames.rescueroby
406,NBA 2K13,"2K Games, Inc.",1.1.2,$7.99 ,3.75,668,Everyone,Sports Games,10000,50000,12/21/12,-7,27,https://play.google.com/store/apps/details?id=com.t2ksports.nba2k13android
445,Quests & Sorcery,mobage,1.7.5.9,$0.00 ,4.5,25995,Medium Maturity,Arcade & Action,1000000,5000000,10/30/12,48,101,https://play.google.com/store/apps/details?id=com.mobage.ww.a561.rpg
366,Book of Heroes,Venan Entertainment,1.5.3,$0.00 ,4.56,2767,Low Maturity,Arcade & Action,50000,100000,1/31/13,-52,-12,https://play.google.com/store/apps/details?id=com.venan.boh
426,WhitePages,WhitePages,2.3,$0.00 ,4.53,8684,Low Maturity,Books & Reference,500000,1000000,1/9/13,11,-4,https://play.google.com/store/apps/details?id=com.whitepages.search
414,RadarScope,Base Velocity LLC,1.5.1,$9.99 ,4.59,528,Low Maturity,Weather,10000,50000,1/15/13,,,https://play.google.com/store/apps/details?id=com.basevelocity.radarscope
430,Dark Horse Comics,Dark Horse Comics,1.2.4,$0.00 ,4.23,2957,High Maturity,Comics,500000,1000000,1/15/13,-3,16,https://play.google.com/store/apps/details?id=com.darkhorse.digital
415,Mini Pets,Miniclip.com,1.3.0,$0.00 ,4.33,31434,Low Maturity,Casual,1000000,5000000,1/21/13,10,8,https://play.google.com/store/apps/details?id=com.miniclip.animalshelter
427,BattleFriends at Sea,Tequila Mobile,1.0.4,$0.00 ,4.44,17403,Low Maturity,Casual,1000000,5000000,12/21/12,-2,18,https://play.google.com/store/apps/details?id=com.tequilamobile.warshipslive
432,Kaspersky Mobile Security,Kaspersky Lab,9.10.139,$14.95 ,4.43,19492,Low Maturity,Tools,100000,500000,1/28/13,-13,-6,https://play.google.com/store/apps/details?id=com.kms
438,No Root Screenshot It,Edward Kim,3.41,$4.99 ,4.33,7502,Everyone,Tools,100000,500000,12/24/12,17,32,https://play.google.com/store/apps/details?id=com.edwardkim.android.screenshotitfullnoroot
418,EasyTether Pro,Polyclef Software,1.1.4,$9.99 ,4.43,1051,Everyone,Communication,50000,100000,9/24/12,-10,-23,https://play.google.com/store/apps/details?id=com.mstream.etpc
433,RadarNow!,USNaviguide LLC,4.2,$0.00 ,4.31,25328,Low Maturity,Weather,1000000,5000000,1/15/13,,,https://play.google.com/store/apps/details?id=com.usnaviguide.radar_now
440,TuneIn Radio Pro,TuneIn,6.8,$4.99 ,4.47,26343,Low Maturity,Music & Audio,500000,1000000,1/18/13,17,19,https://play.google.com/store/apps/details?id=radiotime.player
435,Diet & Food Tracker,SparkPeople,2.2.0,$3.99 ,3.24,59,Everyone,Health & Fitness,10000,50000,12/3/12,3,48,https://play.google.com/store/apps/details?id=com.sparkpeople.androidtracker
439,Nightmares from the Deep,G5 Entertainment,1.2,$0.00 ,4.61,11352,Everyone,Brain & Puzzle,500000,1000000,12/24/12,17,22,https://play.google.com/store/apps/details?id=com.g5e.nightmaresdeep.android
453,SoundHound âˆ_,SoundHound Inc.,Varies with device,$5.99 ,4.54,23983,Medium Maturity,Music & Audio,500000,1000000,1/25/13,37,68,https://play.google.com/store/apps/details?id=com.melodis.midomiMusicIdentifier
395,NFL Pro 2013,Gameloft,1.4.0,$0.00 ,4.47,28333,Everyone,Sports Games,1000000,5000000,1/30/13,-47,-61,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftF3HM
442,IP Cam Viewer Pro,Robert Chou,4.7.8,$3.99 ,4.63,6812,Everyone,Productivity,100000,500000,1/29/13,5,13,https://play.google.com/store/apps/details?id=com.rcreations.WebCamViewerPaid
472,Battle Bears Royale,SkyVu Entertainment,1.4,$0.00 ,3.84,10964,Medium Maturity,Arcade & Action,1000000,5000000,1/22/13,47,101,https://play.google.com/store/apps/details?id=net.skyvu.battlebearsroyal
471,Empire Defense II,GoodTeam,1.2.6,$0.00 ,4.53,70678,Low Maturity,Arcade & Action,1000000,5000000,1/6/13,45,35,https://play.google.com/store/apps/details?id=gts.td2.am.full
441,GO Locker Pro,GO Launcher EX,1.63,$4.99 ,3.82,17,Everyone,Personalization,1000,5000,1/25/13,-9,,https://play.google.com/store/apps/details?id=com.jiubang.goscreenlock.pro
449,Need for Speedâ„¢ Hot Pursuit,Electronic Arts Inc,1.0.60,$4.99 ,3.33,2256,Everyone,Racing,100000,500000,1/9/13,11,31,https://play.google.com/store/apps/details?id=com.eamobile.nfshp_na_wf
466,Abyss: The Wraiths of Eden,G5 Entertainment,1,$0.00 ,4.67,5294,Everyone,Brain & Puzzle,100000,500000,1/16/13,42,96,https://play.google.com/store/apps/details?id=com.g5e.abyss.android
460,Pirates of the Caribbean,Disney,1.7.0,$0.00 ,4.13,67403,Everyone,Casual,5000000,10000000,1/3/13,-5,47,https://play.google.com/store/apps/details?id=com.disney.PirateWars
464,Texas Holdem Poker Pro,geaxgame,3.0.3,$0.00 ,4.83,46163,Medium Maturity,Cards & Casino,1000000,5000000,1/24/13,1,16,https://play.google.com/store/apps/details?id=com.geaxgame.pokerkingpro
444,Palringo Group Messenger,Palringo,5.6,$0.00 ,4.09,21052,Medium Maturity,Communication,1000000,5000000,1/30/13,-2,41,https://play.google.com/store/apps/details?id=com.palringo.android
454,iSyncr for PC (USB & WiFi),JRTStudio,4.0.5,$3.99 ,4.54,9451,Everyone,Music & Audio,100000,500000,1/24/13,13,-3,https://play.google.com/store/apps/details?id=com.jrtstudio.iSyncr
450,TomTom U.S.A.,TomTom International BV,1.1.1,$40.63 ,3.11,64,Low Maturity,Travel & Local,1000,5000,12/21/12,,,https://play.google.com/store/apps/details?id=com.tomtom.usa2gb
458,Smart Tools,Smart Tools co.,1.5.4,$2.50 ,4.52,23514,Low Maturity,Tools,500000,1000000,1/12/13,27,24,https://play.google.com/store/apps/details?id=kr.aboy.tools
459,Sector Strike,Clapfoot Inc.,1.1.1,$0.00 ,4.62,27195,Everyone,Arcade & Action,1000000,5000000,1/8/13,23,65,https://play.google.com/store/apps/details?id=com.clapfootgames.sectorstrike
461,SlideIT Keyboard,Dasur Ltd.,5.1,$3.99 ,4.26,16759,Everyone,Tools,500000,1000000,1/3/13,13,10,https://play.google.com/store/apps/details?id=com.dasur.slideit
477,Tap Tap Revenge 4,Tapulous,4.3.3,$0.00 ,3.73,62598,Low Maturity,Arcade & Action,10000000,50000000,11/8/12,30,45,https://play.google.com/store/apps/details?id=com.tapulous.taptaprevenge4
465,Craigslist Mobile Pro,YYH Creative,1.48,$0.99 ,3.39,973,Medium Maturity,Productivity,10000,50000,1/30/13,9,,https://play.google.com/store/apps/details?id=com.duduapps.craigslistpro
441,Zombiewood,Gameloft,1.0.4,$0.00 ,4.18,35257,Low Maturity,Arcade & Action,1000000,5000000,1/10/13,1,82,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftZOHM
448,Winamp,"Nullsoft, Inc.",1.4.5,$0.00 ,4.29,148651,Low Maturity,Music & Audio,10000000,50000000,12/19/12,-14,,https://play.google.com/store/apps/details?id=com.nullsoft.winamp
451,Grab Money Slots,Grab,1.2.4,$0.00 ,4.32,9858,Medium Maturity,Cards & Casino,500000,1000000,1/19/13,-2,-12,https://play.google.com/store/apps/details?id=com.grab.BigMoneySlots
437,Fishing Star,"GREE, Inc.",1.1.11,$0.00 ,3.84,2880,Medium Maturity,Sports Games,1000000,5000000,1/24/13,10,14,https://play.google.com/store/apps/details?id=jp.gree.android.pf.greeapp53202
480,DOWNTOWN MAFIA (RPG) - FREE,DynamicNext,0.1.15,$0.00 ,4.56,597,Medium Maturity,Arcade & Action,10000,50000,1/28/13,22,88,https://play.google.com/store/apps/details?id=com.dn.games.dtmafia
476,Block Ops,Ammonite Design Studios Ltd,3.5,$3.19 ,3.5,177,Medium Maturity,Arcade & Action,10000,50000,1/28/13,25,50,https://play.google.com/store/apps/details?id=com.rory.blockopsandroid
475,Funamo Parental Control,"Funamo, Inc.",1.1.50,$0.00 ,3.87,146,Low Maturity,Tools,10000,50000,12/10/12,21,,https://play.google.com/store/apps/details?id=funamo.funamo
421,Zoo Story 2â„¢,TeamLava Games,1.0.5.5,$0.00 ,4.38,5835,Everyone,Casual,500000,1000000,1/4/13,-31,-51,https://play.google.com/store/apps/details?id=com.teamlava.zoostory2
455,Endomondo Sports Tracker PRO,Endomondo,Varies with device,$4.99 ,4.59,49003,Low Maturity,Health & Fitness,500000,1000000,12/21/12,-2,,https://play.google.com/store/apps/details?id=com.endomondo.android.pro
443,Nightclub Storyâ„¢,TeamLava Games,1.0.4,$0.00 ,4.39,33031,Medium Maturity,Casual,1000000,5000000,2/25/12,-32,-25,https://play.google.com/store/apps/details?id=com.teamlava.nightclubstory
446,Norton Utilities & Task Killer,Symantec Corporation,2.6.5.313,$0.00 ,4.28,8633,Everyone,Productivity,1000000,5000000,1/31/13,-21,,https://play.google.com/store/apps/details?id=com.symantec.monitor
473,SHADOWGUN: DeadZone,MADFINGER Games,Varies with device,$0.00 ,4.31,24302,Medium Maturity,Arcade & Action,1000000,5000000,1/25/13,2,14,https://play.google.com/store/apps/details?id=com.madfingergames.deadzone
468,Enchanted Realm,Game Insight International,2.4,$0.00 ,4.69,170377,Low Maturity,Arcade & Action,1000000,5000000,1/22/13,-2,52,https://play.google.com/store/apps/details?id=com.gameinsight.enchantedrealm
469,Wreck-it Ralph,Disney,1.1,$0.99 ,3.72,1244,Low Maturity,Arcade & Action,100000,500000,11/15/12,10,26,https://play.google.com/store/apps/details?id=com.disney.wreckitralph
452,Jackpot Slots Club,FT Games,1.04,$0.00 ,4.36,1549,Medium Maturity,Cards & Casino,100000,500000,1/29/13,-12,,https://play.google.com/store/apps/details?id=com.feelingtouch.slotgame
456,Cogs,Lazy 8 Studios,Varies with device,$2.99 ,4.73,10330,Everyone,Brain & Puzzle,100000,500000,9/29/12,,,https://play.google.com/store/apps/details?id=com.lazy8studios.cogs
479,CamScannerï_ˆLicenseï_‰PDF Creator,"IntSig Information Co.,Ltd",1.4,$4.99 ,4.58,3782,Everyone,Productivity,100000,500000,9/13/12,13,,https://play.google.com/store/apps/details?id=com.intsig.lic.camscanner
471,PocketCloud Remote Desktop Pro,Wyse Technology Inc,1.3.216,$14.99 ,4.52,5654,Everyone,Business,50000,100000,1/8/13,11,,https://play.google.com/store/apps/details?id=com.wyse.pocketcloudfull
470,Coin Dozer: Seasons,Game Circus LLC,Varies with device,$0.00 ,4.51,15885,Everyone,Cards & Casino,1000000,5000000,1/22/13,15,,https://play.google.com/store/apps/details?id=com.gamecircus.CoinDozerSeasons
473,Antivirus Free,CREATIVE APPS,6.2.28.80,$0.00 ,4.45,84177,Low Maturity,Tools,10000000,50000000,1/28/13,24,,https://play.google.com/store/apps/details?id=com.zrgiu.antivirus
474,Poker KinG Online-Texas Holdem,geaxgame,3.0.3,$0.00 ,4.77,29378,Medium Maturity,Cards & Casino,1000000,5000000,12/7/12,,,https://play.google.com/store/apps/details?id=com.geaxgame.pokerking
475,[root] Mobile ODIN Pro,Chainfire,3.57,$4.99 ,4.54,2381,Low Maturity,Tools,50000,100000,11/13/12,,-3,https://play.google.com/store/apps/details?id=eu.chainfire.mobileodin.pro
476,Magisto - Magical Video Editor,Magisto,1.1.1407,$0.00 ,4.3,20352,Medium Maturity,Photography,1000000,5000000,1/17/13,-4,,https://play.google.com/store/apps/details?id=com.magisto
429,NFL 2013 Live Wallpaper,Cellfish Studios,1.9,$0.00 ,4.01,4442,Low Maturity,Personalization,500000,1000000,1/24/13,,10,https://play.google.com/store/apps/details?id=airborne.nflwp2
478,Kid Mode: Free Games + Lock,Zoodles,4.4.3,$0.00 ,4.43,33606,Everyone,Education,1000000,5000000,1/14/13,,,https://play.google.com/store/apps/details?id=com.zoodles.kidmode
479,VIZ Manga,Viz Media,1.9.8.1,$0.00 ,4.11,271,Medium Maturity,Comics,50000,100000,1/21/13,11,44,https://play.google.com/store/apps/details?id=com.vizmanga.android
480,Pirates Age - Card Battle Game,"GREE, Inc.",1.2.2,$0.00 ,3.97,2982,Low Maturity,Arcade & Action,500000,1000000,11/26/12,,97,https://play.google.com/store/apps/details?id=jp.gree.android.pf.greeapp53185
304,runtastic PRO,runtastic,3.6,$0.99 ,4.61,18332,Low Maturity,Health & Fitness,100000,500000,1/31/13,,,https://play.google.com/store/apps/details?id=com.runtastic.android.pro2
428,PandoraÂ® internet radio,Pandora,Varies with device,$0.00 ,4.48,946392,Everyone,Music & Audio,50000000,100000000,12/10/12,,,https://play.google.com/store/apps/details?id=com.pandora.android
434,Life is Magic,Red Robot Labs,1.0.8,$0.00 ,4.58,556,Low Maturity,Arcade & Action,5000,10000,1/31/13,,,https://play.google.com/store/apps/details?id=com.redrobotlabs.lifeismagic
447,Dream House Days,,,,,,,,,,,,,https://play.google.com/store/apps/details?id=net.kairosoft.android.apart_en
457,The Infinite Black (MMO),Whalesong Games,0.6.2,$0.00 ,4.72,9046,High Maturity,Arcade & Action,100000,500000,1/21/13,,,https://play.google.com/store/apps/details?id=theinfiniteblack.client
462,Villains RPG,Uken Games,1.26,$0.00 ,4.57,2980,Low Maturity,Arcade & Action,100000,500000,1/15/13,,,https://play.google.com/store/apps/details?id=com.uken.android.villains
463,Sara's Cooking Class,GirlsgoGames,1.5.32908.235,$1.99 ,4.51,95,Everyone,Casual,10000,50000,1/28/13,,,https://play.google.com/store/apps/details?id=com.spilgames.saracookingclass
467,Style Me Girl,Frenzoo,1.0.54,$0.00 ,4.4,33849,Everyone,Casual,1000000,5000000,1/31/13,,,https://play.google.com/store/apps/details?id=com.megirl.stylemegirl
474,Derby Days,Com2uS,2.1.2,$0.00 ,4.45,64287,Everyone,Casual,1000000,5000000,1/22/13,,,https://play.google.com/store/apps/details?id=com.com2us.derbyday.normal.freefull.google.global.android.common